full_log,@timestamp,location,id,timestamp,predecoder.hostname,predecoder.program_name,predecoder.timestamp,agent.name,agent.id,manager.name,data.dstuser,rule.firedtimes,rule.mail,rule.level,rule.pci_dss,rule.hipaa,rule.tsc,rule.description,rule.groups,rule.id,rule.nist_800_53,rule.gpg13,rule.gdpr,decoder.parent,decoder.name,input.type,data.srcuser,data.tty,data.pwd,data.command,rule.mitre.technique,rule.mitre.id,rule.mitre.tactic,decoder.ftscomment,data.uid,data.srcip,data.srcport,data.dpkg_status,data.package,data.arch,data.version
Jun 30 23:54:48 VM1-SIEM sudo[72606]: pam_unix(sudo:session): session closed for user root,2026-06-30T23:54:49.555Z,journald,1782863689.340910,2026-06-30T23:54:49.555+0000,VM1-SIEM,sudo,Jun 30 23:54:48,VM1-SIEM,000,VM1-SIEM,root,13,False,3,['10.2.5'],['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",PAM: Login session closed.,"['pam', 'syslog']",5502,"['AU.14', 'AC.7']","['7.8', '7.9']",['IV_32.2'],pam,pam,log,,,,,,,,,,,,,,,
Jun 30 23:51:14 VM1-SIEM sudo[72523]: alexserver : TTY=pts/0 ; PWD=/home/alexserver/examen-practico-coila/lab3 ; USER=root ; COMMAND=/usr/sbin/ufw status,2026-06-30T23:51:16.669Z,journald,1782863476.336717,2026-06-30T23:51:16.669+0000,VM1-SIEM,sudo,Jun 30 23:51:14,VM1-SIEM,000,VM1-SIEM,root,10,False,3,"['10.2.5', '10.2.2']",['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",Successful sudo to ROOT executed.,"['syslog', 'sudo']",5402,"['AU.14', 'AC.7', 'AC.6']","['7.6', '7.8', '7.13']",['IV_32.2'],sudo,sudo,log,alexserver,pts/0,/home/alexserver/examen-practico-coila/lab3,/usr/sbin/ufw status,['Sudo and Sudo Caching'],['T1548.003'],"['Privilege Escalation', 'Defense Evasion']",First time user executed the sudo command,,,,,,,
Jun 30 23:51:09 VM1-SIEM sudo[72493]: alexserver : TTY=pts/0 ; PWD=/home/alexserver/examen-practico-coila/lab3 ; USER=root ; COMMAND=/usr/sbin/ufw allow 8888/tcp,2026-06-30T23:51:10.644Z,journald,1782863470.333087,2026-06-30T23:51:10.644+0000,VM1-SIEM,sudo,Jun 30 23:51:09,VM1-SIEM,000,VM1-SIEM,root,8,False,3,"['10.2.5', '10.2.2']",['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",Successful sudo to ROOT executed.,"['syslog', 'sudo']",5402,"['AU.14', 'AC.7', 'AC.6']","['7.6', '7.8', '7.13']",['IV_32.2'],sudo,sudo,log,alexserver,pts/0,/home/alexserver/examen-practico-coila/lab3,/usr/sbin/ufw allow 8888/tcp,['Sudo and Sudo Caching'],['T1548.003'],"['Privilege Escalation', 'Defense Evasion']",First time user executed the sudo command,,,,,,,
Jun 30 23:51:09 VM1-SIEM sudo[72493]: pam_unix(sudo:session): session opened for user root(uid=0) by alexserver(uid=1000),2026-06-30T23:51:10.644Z,journald,1782863470.333674,2026-06-30T23:51:10.644+0000,VM1-SIEM,sudo,Jun 30 23:51:09,VM1-SIEM,000,VM1-SIEM,root(uid=0),8,False,3,['10.2.5'],['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",PAM: Login session opened.,"['pam', 'syslog', 'authentication_success']",5501,"['AU.14', 'AC.7']","['7.8', '7.9']",['IV_32.2'],pam,pam,log,alexserver,,,,['Valid Accounts'],['T1078'],"['Defense Evasion', 'Persistence', 'Privilege Escalation', 'Initial Access']",,1000,,,,,,
Jun 30 23:51:09 VM1-SIEM sudo[72493]: pam_unix(sudo:session): session closed for user root,2026-06-30T23:51:10.644Z,journald,1782863470.334112,2026-06-30T23:51:10.644+0000,VM1-SIEM,sudo,Jun 30 23:51:09,VM1-SIEM,000,VM1-SIEM,root,10,False,3,['10.2.5'],['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",PAM: Login session closed.,"['pam', 'syslog']",5502,"['AU.14', 'AC.7']","['7.8', '7.9']",['IV_32.2'],pam,pam,log,,,,,,,,,,,,,,,
2026-06-30T23:51:15.133574+00:00 VM1-SIEM sudo: pam_unix(sudo:session): session closed for user root,2026-06-30T23:51:15.586Z,/var/log/auth.log,1782863475.334936,2026-06-30T23:51:15.586+0000,,sudo,2026-06-30T23:51:15.133574+00:00,VM1-SIEM,000,VM1-SIEM,root,11,False,3,['10.2.5'],['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",PAM: Login session closed.,"['pam', 'syslog']",5502,"['AU.14', 'AC.7']","['7.8', '7.9']",['IV_32.2'],pam,pam,log,,,,,,,,,,,,,,,
2026-06-30T23:51:14.964272+00:00 VM1-SIEM sudo: alexserver : TTY=pts/0 ; PWD=/home/alexserver/examen-practico-coila/lab3 ; USER=root ; COMMAND=/usr/sbin/ufw status,2026-06-30T23:51:15.586Z,/var/log/auth.log,1782863475.335322,2026-06-30T23:51:15.586+0000,,sudo,2026-06-30T23:51:14.964272+00:00,VM1-SIEM,000,VM1-SIEM,root,9,False,3,"['10.2.5', '10.2.2']",['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",Successful sudo to ROOT executed.,"['syslog', 'sudo']",5402,"['AU.14', 'AC.7', 'AC.6']","['7.6', '7.8', '7.13']",['IV_32.2'],sudo,sudo,log,alexserver,pts/0,/home/alexserver/examen-practico-coila/lab3,/usr/sbin/ufw status,['Sudo and Sudo Caching'],['T1548.003'],"['Privilege Escalation', 'Defense Evasion']",First time user executed the sudo command,,,,,,,
2026-06-30T23:45:04.842507+00:00 VM1-SIEM sudo: pam_unix(sudo:session): session opened for user root(uid=0) by alexserver(uid=1000),2026-06-30T23:45:05.526Z,/var/log/auth.log,1782863105.310074,2026-06-30T23:45:05.526+0000,,sudo,2026-06-30T23:45:04.842507+00:00,VM1-SIEM,000,VM1-SIEM,root(uid=0),3,False,3,['10.2.5'],['164.312.b'],"['CC6.8', 'CC7.2', 'CC7.3']",PAM: Login session opened.,"['pam', 'syslog', 'authentication_success']",5501,"['AU.14', 'AC.7']","['7.8', '7.9']",['IV_32.2'],pam,pam,log,alexserver,,,,['Valid Accounts'],['T1078'],"['Defense Evasion', 'Persistence', 'Privilege Escalation', 'Initial Access']",,1000,,,,,,
2026-06-30T23:45:05.314554+00:00 VM1-SIEM sshd: Failed password for postgres from 203.0.113.50 port 25113 ssh2,2026-06-30T23:45:05.526Z,/var/log/auth.log,1782863105.311017,2026-06-30T23:45:05.526+0000,,sshd,2026-06-30T23:45:05.314554+00:00,VM1-SIEM,000,VM1-SIEM,postgres,2,False,5,"['10.2.4', '10.2.5']",['164.312.b'],"['CC6.1', 'CC6.8', 'CC7.2', 'CC7.3']",sshd: authentication failed.,"['syslog', 'sshd', 'authentication_failed']",5760,"['AU.14', 'AC.7']",['7.1'],"['IV_35.7.d', 'IV_32.2']",sshd,sshd,log,,,,,"['Password Guessing', 'SSH']","['T1110.001', 'T1021.004']","['Credential Access', 'Lateral Movement']",,,203.0.113.50,25113,,,,
2026-06-30T23:45:06.624210+00:00 VM1-SIEM sshd: Failed password for admin_db from 203.0.113.50 port 8404 ssh2,2026-06-30T23:45:07.526Z,/var/log/auth.log,1782863107.316107,2026-06-30T23:45:07.526+0000,,sshd,2026-06-30T23:45:06.624210+00:00,VM1-SIEM,000,VM1-SIEM,admin_db,8,False,5,"['10.2.4', '10.2.5']",['164.312.b'],"['CC6.1', 'CC6.8', 'CC7.2', 'CC7.3']",sshd: authentication failed.,"['syslog', 'sshd', 'authentication_failed']",5760,"['AU.14', 'AC.7']",['7.1'],"['IV_35.7.d', 'IV_32.2']",sshd,sshd,log,,,,,"['Password Guessing', 'SSH']","['T1110.001', 'T1021.004']","['Credential Access', 'Lateral Movement']",,,203.0.113.50,8404,,,,
Jun 30 23:45:07 VM1-SIEM sshd[72416]: Failed password for ubuntu from 203.0.113.50 port 22402 ssh2,2026-06-30T23:45:07.572Z,journald,1782863107.317068,2026-06-30T23:45:07.572+0000,VM1-SIEM,sshd,Jun 30 23:45:07,VM1-SIEM,000,VM1-SIEM,ubuntu,10,False,5,"['10.2.4', '10.2.5']",['164.312.b'],"['CC6.1', 'CC6.8', 'CC7.2', 'CC7.3']",sshd: authentication failed.,"['syslog', 'sshd', 'authentication_failed']",5760,"['AU.14', 'AC.7']",['7.1'],"['IV_35.7.d', 'IV_32.2']",sshd,sshd,log,,,,,"['Password Guessing', 'SSH']","['T1110.001', 'T1021.004']","['Credential Access', 'Lateral Movement']",,,203.0.113.50,22402,,,,
Jun 30 23:45:07 VM1-SIEM sshd[72418]: Failed password for postgres from 203.0.113.50 port 20075 ssh2,2026-06-30T23:45:07.573Z,journald,1782863107.318010,2026-06-30T23:45:07.573+0000,VM1-SIEM,sshd,Jun 30 23:45:07,VM1-SIEM,000,VM1-SIEM,postgres,12,False,5,"['10.2.4', '10.2.5']",['164.312.b'],"['CC6.1', 'CC6.8', 'CC7.2', 'CC7.3']",sshd: authentication failed.,"['syslog', 'sshd', 'authentication_failed']",5760,"['AU.14', 'AC.7']",['7.1'],"['IV_35.7.d', 'IV_32.2']",sshd,sshd,log,,,,,"['Password Guessing', 'SSH']","['T1110.001', 'T1021.004']","['Credential Access', 'Lateral Movement']",,,203.0.113.50,20075,,,,
Jun 30 23:45:05 VM1-SIEM sshd[72410]: Failed password for deploy from 203.0.113.50 port 4041 ssh2,2026-06-30T23:45:07.569Z,journald,1782863107.318483,2026-06-30T23:45:07.569+0000,VM1-SIEM,sshd,Jun 30 23:45:05,VM1-SIEM,000,VM1-SIEM,deploy,13,False,5,"['10.2.4', '10.2.5']",['164.312.b'],"['CC6.1', 'CC6.8', 'CC7.2', 'CC7.3']",sshd: authentication failed.,"['syslog', 'sshd', 'authentication_failed']",5760,"['AU.14', 'AC.7']",['7.1'],"['IV_35.7.d', 'IV_32.2']",sshd,sshd,log,,,,,"['Password Guessing', 'SSH']","['T1110.001', 'T1021.004']","['Credential Access', 'Lateral Movement']",,,203.0.113.50,4041,,,,
